Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
30.1,16.9377,21.7901,26.4188,29.2756,26.9663,16.7734,16.8745,22.0527
30.2,16.9859,21.8168,26.4701,29.3868,27.1423,16.7785,16.8774,22.2214
30.3,17.0049,21.8489,26.4991,29.524,27.1877,16.7834,16.9699,22.3148
30.4,17.0362,21.9524,26.5376,29.6577,27.3001,16.8075,16.9816,22.365
30.5,17.0983,22.0526,26.668,29.7537,27.3657,16.8431,16.9849,22.4649
30.6,17.1161,22.0831,26.7807,29.8652,27.5283,17.0287,17.0693,22.6368
30.7,17.1637,22.2365,26.9214,29.9682,27.6827,17.1217,17.0701,22.9912
30.8,17.1771,22.2618,26.9946,30.0799,27.7915,17.1306,17.1796,23.5868
30.9,17.1954,22.2955,27.1872,30.1496,27.8428,17.2331,17.2055,24.0602
31.0,17.199,22.3266,27.3989,30.2761,27.8845,17.2589,17.3765,24.58
